,Accuracy,Precision,Recall,F1-Score
KNN,0.8579365079365079,0.8584469703474392,0.8579365079365079,0.8579056318645263
LogReg,0.9079365079365079,0.9079679499487968,0.9079365079365079,0.9079316362508291
RandomForest,0.903968253968254,0.9039803177306673,0.903968253968254,0.9039691613119639
NeuralNet,0.9206349206349206,0.9207091496727763,0.9206349206349206,0.9206349206349206
